,id,name,short_description,gender,country,occupation,birth_year,death_year,manner_of_death,age_of_death,agerange
712880,Q11901044,Vesa Mäkelä,actor,,Finland,Artist,1947,2003.0,,56.0,50-59
712986,Q11901964,Vuokko Piironen,singer,,Finland,Artist,1945,2003.0,,58.0,50-59
713193,Q11903099,Yvonne Gräsbeck,singer,Female,Finland,Artist,1960,2008.0,,48.0,40-49
713243,Q11904759,Albert Coma Estadella,painter,Male,Spain,Artist,1933,1991.0,,58.0,50-59
713316,Q11905641,Anna Dodas i Noguer,writer,Female,Spain,Artist,1962,1986.0,homicide,24.0,18-29
713553,Q11912020,Vladislav Müller,actor,Male,Slovakia; Czechoslovakia,Artist,1936,1996.0,,60.0,
713638,Q11915819,Vlastimil Šik,painter,Male,Czech Republic,Artist,1954,2009.0,,55.0,50-59
713681,Q11918037,Eduard Alcoy i Lázaro,painter,Male,Spain,Artist,1930,1987.0,,57.0,50-59
713726,Q11919142,Emili Castellanos,writer,,Spain,Artist,1954,1995.0,,41.0,40-49
713763,Q11919341,Enric Pous i Tor,actor,Male,Spain,Artist,1942,2000.0,,58.0,50-59
713798,Q11919862,James Kenney,actor,Male,United Kingdom,Artist,1930,1982.0,,52.0,50-59
713815,Q11921713,Thomas Kornack,actor,Male,Germany,Artist,1976,2014.0,,38.0,30-39
714326,Q11927449,Jean Etxepare Landerretxe,writer,,Spain,Artist,1937,1961.0,,24.0,18-29
714363,Q11928078,Joaquim Cardona i Solsona,actor,Male,Spain,Artist,1946,1993.0,,47.0,40-49
714772,Q11936767,Mikel Zarate,writer,Male,Spain,Artist,1933,1979.0,,46.0,40-49
714776,Q11936900,Miquel Escudero i Claveguera,poet,,Spain,Artist,1945,1978.0,,33.0,30-39
714831,Q11938932,Norbert Íbero i de Castro,actor,Male,Spain,Artist,1956,2011.0,,55.0,50-59
715019,Q11949530,Guy LeBlanc,composer,Male,United Kingdom,Artist,1960,2015.0,,55.0,50-59
715116,Q11955431,Xoán-Manuel Casado,poet,,Spain,Artist,1949,2002.0,,53.0,50-59
715226,Q11957845,Anders Eikås,musician,Male,Norway,Artist,1992,2012.0,,20.0,18-29
715272,Q11958003,Andreas Oldervik,singer,Male,Norway,Artist,1981,2008.0,,27.0,18-29
715312,Q11958284,Anne Lorentzen,singer,Female,Norway,Artist,1963,2013.0,,50.0,40-49
715522,Q11961115,Birgitte Bøe,painter,,Norway,Artist,1965,2014.0,,49.0,40-49
715529,Q11961204,Bjarne Holst,painter,Male,Norway,Artist,1944,1993.0,,49.0,40-49
715573,Q11962884,Børre Løvik,musician,,Norway,Artist,1965,2007.0,,42.0,40-49
715607,Q11963217,Marie-Charlott Schüler,actress,Female,Germany,Artist,1958,2010.0,,52.0,50-59
715636,Q11963598,Chris Lyngedal,singer,Male,Norway,Artist,1947,1990.0,,43.0,40-49
715720,Q11964806,Daud Mirza,actor,Male,Norway,Artist,1969,2014.0,,45.0,40-49
715727,Q11964849,David Van Landing,singer,Male,United States of America,Artist,1964,2015.0,,51.0,50-59
715728,Q11965318,Denis Decay,musician,Male,Norway,Artist,1961,2018.0,,57.0,50-59
716001,Q11971639,Gaute Kraft Grimsrud,actor,,Norway,Artist,1963,2004.0,,41.0,40-49
716004,Q11971713,Geir Samsonsen,musician,Male,Norway,Artist,1961,1991.0,,30.0,18-29
716050,Q11972676,Gro Anita Schønn,singer,Female,Norway,Artist,1950,2001.0,natural causes,51.0,50-59
716070,Q11973302,Gunnar Jess,musician,Male,Norway,Artist,1951,2006.0,,55.0,50-59
716220,Q11974099,Hans Petter Bonden,musician,Male,Norway,Artist,1960,2001.0,,41.0,40-49
716392,Q11976390,Håkon Vellesvik,musician,Male,Norway,Artist,1951,1982.0,,31.0,30-39
716446,Q11977685,Ivar Grønsveen,singer,Male,Norway,Artist,1946,1973.0,,27.0,18-29
716547,Q11978314,Jeanette Sky,writer,Female,Norway,Artist,1969,2016.0,,47.0,40-49
716742,Q11978870,Johannes Kleppevik,musician,Male,Norway,Artist,1947,2001.0,,54.0,50-59
716779,Q11978969,John Golland,composer,Male,United Kingdom,Artist,1942,1993.0,,51.0,50-59
716945,Q11980271,Karl Magnus Sjøen,singer,Male,Norway,Artist,1944,2002.0,,58.0,50-59
716984,Q11980851,Kjell Ivar Sandvik,writer,Male,Norway,Artist,1962,2016.0,,54.0,50-59
717018,Q11981319,Knut Jørgensen,painter,Male,Norway,Artist,1937,1991.0,,54.0,50-59
717069,Q11982565,Kurt Tore Andersen,writer,Male,Norway,Artist,1953,2010.0,,57.0,50-59
717081,Q11982933,Lage Fosheim,singer,Male,Norway,Artist,1958,2013.0,,55.0,50-59
717089,Q11983254,Lars Børke,musician,Male,Norway,Artist,1947,2007.0,,60.0,50-59
717106,Q11983355,Lars Vad,singer,Male,Norway,Artist,1970,2013.0,,43.0,40-49
717110,Q11983404,Lasse Glomm,film,Male,Norway,Artist,1944,1996.0,,52.0,50-59
717112,Q11983414,Lasse Tomter,actor,Male,Norway,Artist,1939,1979.0,,40.0,30-39
717277,Q11985157,Eva Kostolányiová,actress,Female,Czechoslovakia,Artist,1942,1975.0,,33.0,30-39
717278,Q11985160,Eva Kováčová,poet,Female,Slovakia,Artist,1951,2010.0,,59.0,
717281,Q11985177,Eva Oubramová,poet,Female,Czech Republic,Artist,1939,1997.0,,58.0,50-59
717291,Q11985214,Eva Šolcová,actress,Female,Czechoslovakia,Artist,1945,1967.0,,22.0,18-29
717564,Q11987769,Magnar Rygg,writer,,Norway,Artist,1948,2000.0,,52.0,50-59
717601,Q11988373,Marius Bodin Larsen,musician,Male,Norway,Artist,1972,2006.0,,34.0,30-39
717602,Q11988378,Marius Hansen,composer,Male,Norway,Artist,1974,2020.0,,46.0,40-49
717610,Q11988499,Martin Aune,musician,,Norway,Artist,1963,2011.0,,48.0,40-49
717737,Q11991433,Nils-Fredrik Nielsen,writer,,Norway,Artist,1945,2005.0,,60.0,50-59
717783,Q11991525,Nils Yttri,poet,Male,Norway,Artist,1947,1980.0,,33.0,30-39
717796,Q11993064,Odd Borg,actor,Male,Norway,Artist,1931,1965.0,,34.0,30-39
717814,Q11993128,Odd Olav Bolstad,painter,Male,Norway,Artist,1948,2007.0,,59.0,50-59
718026,Q11994951,Paul Robi,singer,Male,United States of America,Artist,1931,1989.0,,58.0,50-59
718060,Q11995181,Per Elvis Granberg,singer,Male,Norway,Artist,1941,1980.0,,39.0,30-39
718075,Q11995241,Per Lekang,actor,Male,Norway,Artist,1931,1986.0,,55.0,50-59
718229,Q11997593,René Jansen,musician,Male,Norway,Artist,1969,2014.0,,45.0,40-49
718273,Q11998269,Rolf Larsen,writer,Male,Norway,Artist,1948,2002.0,,54.0,50-59
718288,Q11998545,Roy Stenersen,musician,Male,Norway,Artist,1964,2015.0,,51.0,50-59
718419,Q12002929,Steinar Gregertsen,musician,Male,Norway,Artist,1958,2012.0,,54.0,50-59
718466,Q12004241,Svein Morten Lunde,musician,Male,Norway,Artist,1959,1996.0,,37.0,30-39
718500,Q12004409,Sverre Solberg,actor,Male,Norway,Artist,1960,2014.0,natural causes,54.0,50-59
718587,Q12006597,Tollef Rørmoen Berger,musician,,Norway,Artist,1977,2011.0,,34.0,30-39
718592,Q12006801,Tony Mills,singer,Male,United Kingdom,Artist,1962,2019.0,natural causes,57.0,50-59
718594,Q12006844,Tor André Knudsen,musician,Male,Norway,Artist,1967,2004.0,,37.0,30-39
718608,Q12006956,Tore Andersen,musician,Male,Norway,Artist,1960,2015.0,,55.0,50-59
718614,Q12006981,Tore Hoel,writer,Male,Norway,Artist,1956,2009.0,,53.0,50-59
718623,Q12007049,Torhild Lindal,actor,,Norway,Artist,1931,1980.0,,49.0,40-49
718793,Q12012137,Øyvind Gjengaar,writer,Male,Norway,Artist,1952,2011.0,,59.0,50-59
718799,Q12012268,Jane Seitz,film,Female,Germany,Artist,1942,1988.0,,46.0,40-49
718812,Q12012555,Claire Vanhonnacker,singer,Female,Belgium,Artist,1953,1992.0,,39.0,30-39
718877,Q12016863,Franta Kocourek,actor,Male,Czech Republic,Artist,1947,1991.0,,44.0,40-49
719328,Q12017572,František Vicena,actor,Male,Czech Republic,Artist,1933,1984.0,suicide,51.0,50-59
719499,Q12018010,Gabriela Wilhelmová,actress,Female,Czech Republic,Artist,1942,2002.0,,60.0,50-59
719611,Q12019406,Helena Friedrichová,actress,Female,Czech Republic; Czechoslovakia,Artist,1955,2002.0,,47.0,
719694,Q12021815,Irena Konvalinová,actress,Female,Czech Republic,Artist,1955,2015.0,,60.0,50-59
719726,Q12021971,Ivan Mistrík,actor,Male,Czechoslovakia,Artist,1935,1982.0,suicide,47.0,40-49
719745,Q12022007,Ivan Sekyra,musician,Male,Czech Republic,Artist,1952,2012.0,,60.0,50-59
719838,Q12022718,Jan Kratochvíl,painter,,,Artist,1941,1997.0,,56.0,50-59
719938,Q12023399,Jana Březinová,actress,Female,Czech Republic; Czechoslovakia,Artist,1940,2000.0,,60.0,
719944,Q12023436,Jana Malknechtová,singer,Female,Czechoslovakia,Artist,1940,1990.0,,50.0,40-49
719947,Q12023454,Jana Robbová,singer,Female,Czech Republic,Artist,1951,1996.0,,45.0,40-49
719948,Q12023470,Jana Werichová,actress,Female,Czechoslovakia,Artist,1935,1981.0,,46.0,40-49
720037,Q12023836,Jaroslav Ježek,musician,,,Artist,1957,1985.0,,28.0,18-29
720046,Q12023859,Jaroslav Kocvera,poet,Male,Czech Republic,Artist,1943,1995.0,,52.0,50-59
720292,Q12025089,Jiří Daněk,writer,,,Artist,1959,2017.0,,58.0,50-59
720335,Q12025540,Jiří Svoboda,composer,,Czech Republic,Artist,1945,2004.0,,59.0,50-59
720755,Q12027411,Ján Mančuška,artist,Male,,Artist,1972,2011.0,,39.0,30-39
720943,Q12028278,Karel Jan Čapek,poet,Male,Czech Republic,Artist,1962,1997.0,,35.0,30-39
721026,Q12028404,Karel Misař,writer,Male,,Artist,1934,1991.0,,57.0,50-59
721197,Q12028814,Karolina Slunéčková,actress,Female,,Artist,1934,1983.0,natural causes,49.0,40-49
721332,Q12032814,Laďka Kozderková,actress,,Czechoslovakia,Artist,1949,1986.0,,37.0,30-39
721523,Q12035472,Marie Stryjová,writer,Female,Czechoslovakia,Artist,1931,1977.0,suicide,46.0,40-49
721610,Q12036627,Michael Hofbauer,actor,Male,Czech Republic,Artist,1964,2013.0,,49.0,40-49
721627,Q12036883,Miki Volek,singer,,Czech Republic,Artist,1943,1996.0,,53.0,50-59
721644,Q12037175,Milan Chladil,singer,Male,,Artist,1931,1984.0,,53.0,50-59
721713,Q12037385,Milena Zahrynowská,actress,Female,Czechoslovakia,Artist,1941,1986.0,,45.0,40-49
721856,Q12037934,Miroslav Nohýnek,actor,Male,Czech Republic,Artist,1941,1997.0,,56.0,50-59
721865,Q12037959,Miroslav Pinc,,Male,,Artist,1949,2000.0,,51.0,50-59
722156,Q12044358,Pavla Kapitánová,singer,,Czech Republic,Artist,1970,2007.0,,37.0,30-39
722195,Q12045035,Petr Sepéši,singer,Male,,Artist,1960,1985.0,,25.0,18-29
722198,Q12045068,Petr Vaněček,painter,,Czech Republic,Artist,1959,2019.0,,60.0,50-59
722464,Q12055998,Stanislav Procházka ml.,composer,Male,Czech Republic,Artist,1954,2003.0,,49.0,40-49
722490,Q12056410,Steve Alder,,Male,,Artist,1950,1997.0,,47.0,40-49
722587,Q12059270,Tomáš Mazáč,poet,Male,Czech Republic,Artist,1962,2017.0,,55.0,50-59
722621,Q12060131,Tõnu Kaalep,writer,,Estonia,Artist,1966,2018.0,,52.0,50-59
722656,Q12061075,Nicole Lai,musician,Female,Malaysia,Artist,1974,2008.0,,34.0,
722838,Q12073720,Anatoliy Ivanov,film,Male,Soviet Union,Artist,1939,1996.0,,57.0,50-59
722987,Q12080907,Valerіï Baran,,,,Artist,1954,2010.0,,56.0,50-59
723184,Q12090553,Yulia Volchkova,actress,Female,Ukraine; Soviet Union,Artist,1974,2018.0,,44.0,40-49
723293,Q12097958,Pavel Fjodorovitsj Gromovenko,,Male,Ukraine; Soviet Union,Artist,1941,1997.0,,56.0,50-59
723399,Q12104892,Жураківський Андрій Ігорович,,Male,,Artist,1979,2007.0,,28.0,18-29
723527,Q12111736,Natalia Kolomiets,poet,Female,Ukraine,Artist,1963,2014.0,,51.0,50-59
723564,Q12113542,Vladimir Kostenko,actor,,Soviet Union,Artist,1937,1990.0,,53.0,50-59
723746,Q12120633,Juriy Sergeevitsj Maksimov,actor,,Soviet Union,Artist,1930,1983.0,,53.0,50-59
723937,Q12135687,Олемпіюк Геннадій Миколайович,painter,Male,Ukraine,Artist,1950,1995.0,,45.0,40-49
724349,Q12159959,Valeria Taranenko,,,,Artist,1935,1978.0,,43.0,40-49
724493,Q12167274,Stanislav Khytriak,,Male,,Artist,1947,2002.0,,55.0,50-59
724494,Q12167287,Хлєбникова Марина Сергіївна,,Female,,Artist,1958,1998.0,,40.0,30-39
724610,Q12172577,Геннадий Павлович Шумилов,,Male,,Artist,1943,1994.0,,51.0,50-59
724647,Q12173771,Leonid Yanovsky,,,Ukraine; Soviet Union,Artist,1946,1996.0,,50.0,40-49
724664,Q12174353,Yuriy Gudz,writer,Male,,Artist,1956,2002.0,,46.0,40-49
724739,Q12177878,أبو بكر المريني,,,,Artist,1939,1980.0,,41.0,40-49
724761,Q12178517,Aḥmad Mubārak Baghdādī,,Male,,Artist,1951,2010.0,,59.0,50-59
724808,Q12178799,أحمد تيناوي,poet,Male,Syria,Artist,1960,2012.0,,52.0,
724862,Q12179070,Ahmed Mehrez,actor,Male,Egypt,Artist,1949,2008.0,,59.0,
724940,Q12191760,Alexandru Tatos,film,Male,Romania,Artist,1937,1990.0,,53.0,50-59
725013,Q12213386,Rushdi al-Amil,poet,,Kingdom of Iraq; Republic of Iraq (1958–68); Ba'athist Iraq,Artist,1934,1990.0,,56.0,
725019,Q12214496,زكريا موافى,actor,,Egypt,Artist,1936,1988.0,,52.0,
725039,Q12217257,Susan Atefat Peckham,writer,Female,United States of America,Artist,1970,2004.0,,34.0,30-39
725057,Q12221848,Talaat Zakaria,actor,Male,Egypt; United Arab Republic,Artist,1960,2019.0,,59.0,
725116,Q12222795,ʻAbd al-Raḥmān ibn ʻAbd Allāh al-Ḥaḍramī Zabīdī,writer,Male,Yemen,Artist,1933,1993.0,,60.0,
725118,Q12222801,Abdul Rahman Eid,actor,Male,Syria,Artist,1969,2007.0,,38.0,
725132,Q12222914,عبد السلام زقلام,,,,Artist,1943,1989.0,,46.0,40-49
725143,Q12223173,عبد القادر العاني,,Male,,Artist,1945,2004.0,,59.0,50-59
725156,Q12223231,عبد الكريم الأشموري,actor,Male,Yemen,Artist,1968,2012.0,,44.0,
725178,Q12223309,ʻAbd al-Laṭīf ʻAql,poet,,State of Palestine,Artist,1942,1993.0,,51.0,
725239,Q12227881,علي الرقيعي,,Male,,Artist,1934,1966.0,,32.0,30-39
725241,Q12227893,علي السميري,,Male,Kuwait,Artist,1966,2006.0,,40.0,
725243,Q12227898,على الشريف,actor,Male,Egypt,Artist,1934,1987.0,,53.0,
725246,Q12227932,Ali Al Ghurair,actor,Male,Bahrain,Artist,1968,2020.0,,52.0,
725258,Q12228011,علي بن عاشور,,Male,,Artist,1950,1996.0,,46.0,40-49
725259,Q12228020,Ali Bin Ali Al-Ansi,singer,Male,Yemen,Artist,1933,1981.0,,48.0,
725267,Q12228072,ʻAlī Ḥusayn Khalaf,,Male,,Artist,1945,1996.0,,51.0,50-59
725268,Q12228077,Ali Hemeeda,singer,Male,Egypt,Artist,1965,2021.0,,56.0,
725272,Q12228090,Ali Ragab,film,Male,Egypt,Artist,1964,2020.0,,56.0,
725286,Q12228192,Ali Mosbah,actor,Male,Tunisia,Artist,1958,2005.0,,47.0,
725346,Q12240477,Mohammed Rafeh,actor,Male,Syria,Artist,1982,2012.0,,30.0,
725361,Q12243042,Meshary al Arada,singer,Male,Kuwait,Artist,1982,2018.0,accident,36.0,
725372,Q12243409,Mostafa Sid Ahmed,singer,Male,Sudan,Artist,1953,1996.0,natural causes,43.0,
725376,Q12245855,Mona Maraashly,singer,Female,Lebanon,Artist,1958,2016.0,natural causes,58.0,
725394,Q12249662,Hala Fouad,actress,Female,Egypt,Artist,1958,1993.0,,35.0,
725401,Q12250306,Haitham Ahmed Zaki,actor,Male,Egypt,Artist,1984,2019.0,natural causes,35.0,
725407,Q12251509,Yasser Al-Masri,actor,Male,Jordan,Artist,1970,2018.0,accident,48.0,
725490,Q12255659,Carlos Alcolea,painter,Male,Spain,Artist,1949,1992.0,,43.0,40-49
725493,Q12255666,Carlos Sanz Ramírez,painter,Male,Spain,Artist,1943,1987.0,,44.0,40-49
725547,Q12257673,Eustakio Mendizabal,writer,Male,Spain,Artist,1944,1973.0,,29.0,18-29
725555,Q12257808,Felipe Rius,writer,Male,Spain,Artist,1961,2018.0,,57.0,50-59
725608,Q12258920,Hasier Etxeberria,writer,Male,Spain,Artist,1957,2017.0,natural causes,60.0,50-59
725612,Q12259389,Ibon Zabala,writer,,Spain,Artist,1974,1995.0,,21.0,18-29
725700,Q12260503,Jon Barberena,writer,Male,Spain,Artist,1979,2019.0,,40.0,30-39
725808,Q12261018,Juan Karlos Merino,writer,Male,Spain,Artist,1967,2017.0,,50.0,40-49
725922,Q12263071,Mariano Royo Ximenez,painter,Male,Spain,Artist,1949,1985.0,,36.0,30-39
725945,Q12263611,Mikel Garmendia,,Male,Spain,Artist,1945,2005.0,,60.0,50-59
726069,Q12269043,Xabier Portugal,writer,,Spain,Artist,1951,2008.0,,57.0,50-59
726144,Q12271883,Angel Michajlow,,,,Artist,1939,1998.0,,59.0,50-59
726157,Q12272190,Antoniy Genov,actor,Male,Bulgaria,Artist,1950,2006.0,,56.0,50-59
726184,Q12273231,Binʹo Ivanov,poet,,,Artist,1939,1998.0,,59.0,50-59
726224,Q12273754,Boris Chernev,actor,Male,Bulgaria,Artist,1964,2009.0,,45.0,40-49
726243,Q12274514,Valentin Fortunov,writer,Male,Bulgaria,Artist,1957,2014.0,,57.0,50-59
726365,Q12277971,Janice Kaiser,writer,Female,United States of America,Artist,1947,2000.0,,53.0,50-59
726432,Q12278686,Dimitar Tsonev,actor,Male,Bulgaria,Artist,1959,2016.0,,57.0,50-59
726441,Q12279250,Душко Аврамов,writer,,North Macedonia,Artist,1938,1998.0,,60.0,
726541,Q12281087,Ivan Nikolov,poet,Male,Soviet Union,Artist,1937,1991.0,,54.0,50-59
726588,Q12282012,Yoan Leviev,artist,Male,,Artist,1934,1994.0,,60.0,50-59
726878,Q12290551,Petar Penkov,actor,Male,Bulgaria,Artist,1934,1974.0,,40.0,30-39
726962,Q12295165,Stefan Voronov,singer,Male,Bulgaria,Artist,1945,1974.0,,29.0,18-29
726968,Q12295189,Stefan Dimitrov,film,Male,Bulgaria,Artist,1933,1990.0,,57.0,50-59
727098,Q12299498,Юксел Ахмедов,,,,Artist,1954,2011.0,,57.0,50-59
727182,Q12300365,Aase Hansen,actress,Female,Denmark,Artist,1935,1993.0,,58.0,50-59
727286,Q12300944,Alex Uth,writer,Male,Denmark,Artist,1970,2019.0,,49.0,40-49
727474,Q12301840,Anne Mari Lie,actress,Female,Denmark,Artist,1945,1989.0,,44.0,40-49
727501,Q12302141,Arne Hansen,actor,Male,Denmark,Artist,1938,1992.0,,54.0,50-59
727518,Q12302176,Arne Skovhus,actor,Male,Denmark,Artist,1932,1983.0,,51.0,50-59
727720,Q12304042,Bolette Bernild,actress,,Denmark,Artist,1950,2007.0,,57.0,50-59
727724,Q12304381,Brigitte Kolerus,actress,Female,Denmark,Artist,1941,2001.0,,60.0,50-59
727936,Q12305694,Charlotte Ernst,actress,Female,Denmark,Artist,1939,1973.0,,34.0,30-39
728336,Q12308643,Dina Birte Al-Erhayem,actress,Female,Denmark,Artist,1975,2019.0,,44.0,40-49
728402,Q12309494,Egon Aagaard,actor,,Denmark,Artist,1941,1984.0,,43.0,40-49
728418,Q12309539,Eik Skaløe,musician,Male,Denmark,Artist,1943,1968.0,,25.0,18-29
728499,Q12309863,Else Hvidhøj,actress,Female,Denmark,Artist,1937,1987.0,,50.0,40-49
728599,Q12310362,Erik Kjær Larsen,writer,,Denmark,Artist,1960,2014.0,,54.0,50-59
728728,Q12311380,Finn Jensen,musician,Male,Denmark,Artist,1953,1987.0,,34.0,30-39
728765,Q12312218,Franz De Zaster,musician,Male,Denmark,Artist,1960,2014.0,,54.0,50-59
728996,Q12314297,Grete Klitgaard,singer,Female,Denmark,Artist,1934,1964.0,,30.0,18-29
728997,Q12314299,Grete Roulund,writer,Female,Denmark,Artist,1946,2004.0,,58.0,50-59
729398,Q12315791,Hassan Bayati,,Male,,Artist,1954,2011.0,,57.0,50-59
729487,Q12316313,Henrik Bjelke,writer,Male,Denmark,Artist,1937,1993.0,,56.0,50-59
729669,Q12317403,Hugo Øster Bendtsen,actor,Male,Denmark,Artist,1948,1998.0,,50.0,40-49
729811,Q12319022,Jan Gustavsen,actor,,Denmark,Artist,1957,1996.0,,39.0,30-39
729833,Q12319163,Jeanette Dyrkjær,actor,Female,Denmark,Artist,1963,2011.0,natural causes,48.0,40-49
729923,Q12319414,Jens Nørregård,painter,Male,Denmark,Artist,1946,1990.0,,44.0,40-49
729973,Q12319650,Jesper Madsen,composer,Male,Denmark,Artist,1957,1999.0,,42.0,40-49
729975,Q12319659,Jesper Reisinger,musician,Male,Denmark,Artist,1957,2003.0,,46.0,40-49
730217,Q12320090,Johannes L. Madsen,poet,Male,Denmark,Artist,1942,2000.0,,58.0,50-59
730268,Q12320196,John Larsen,actor,Male,Denmark,Artist,1935,1993.0,,58.0,50-59
730269,Q12320199,John Little,artist,Male,Denmark,Artist,1942,2001.0,,59.0,50-59
730279,Q12320247,Johnny Thingsager Madsen,musician,Male,Denmark,Artist,1949,2002.0,,53.0,50-59
730339,Q12320668,Jytte Pilloni,actress,,Denmark,Artist,1951,1997.0,,46.0,40-49
730410,Q12320814,Jørgen Krogh,actor,Male,Denmark,Artist,1935,1994.0,,59.0,50-59
730456,Q12320915,Jørn Budolfsen,actor,Male,Denmark,Artist,1942,1987.0,,45.0,40-49
730490,Q12321171,Kamilla Bech Holten,actress,,Denmark,Artist,1972,2008.0,,36.0,30-39
730494,Q12321308,Karen Degett,painter,Female,Denmark,Artist,1954,2011.0,,57.0,50-59
730558,Q12322110,Klaus Scharling Nielsen,actor,,Denmark,Artist,1932,1984.0,,52.0,50-59
730627,Q12323797,Lars Bo Enselmann,musician,Male,Denmark,Artist,1956,2005.0,,49.0,40-49
730692,Q12324178,Leif Mønsted,actor,Male,Denmark,Artist,1931,1989.0,,58.0,50-59
730731,Q12324761,Lizzie Corfixen,actress,,Denmark,Artist,1944,1988.0,,44.0,40-49
730813,Q12325205,Lykke Nielsen,actress,,Denmark,Artist,1946,2006.0,,60.0,50-59
730824,Q12325621,Mads Holger Norgaard Madsen,writer,Male,Denmark,Artist,1977,2016.0,suicide,39.0,30-39
730853,Q12326034,Marianne Kjærulff-Schmidt,actress,Female,Denmark,Artist,1942,2001.0,,59.0,50-59
731021,Q12327739,Morten Skovgaard Danielsen,musician,Male,Denmark,Artist,1967,2009.0,,42.0,40-49
731252,Q12330045,Ole Dixon,actor,Male,Denmark,Artist,1935,1975.0,,40.0,30-39
731268,Q12330085,Ole Ishøy,actor,Male,Denmark,Artist,1934,1985.0,,51.0,50-59
731286,Q12330119,Ole Meyer,actor,Male,Denmark,Artist,1959,2018.0,,59.0,50-59
731307,Q12330171,Ole Østrup,painter,Male,Denmark,Artist,1943,2002.0,,59.0,50-59
731505,Q12331360,Per Sonniks,painter,Male,Denmark,Artist,1933,1967.0,,34.0,30-39
731653,Q12331818,Philippa Bulgin,singer,Female,Denmark,Artist,1967,1994.0,,27.0,18-29
731760,Q12332303,Preben Kørning,actor,Male,Denmark,Artist,1941,1986.0,,45.0,40-49
731896,Q12336440,Sonny Tronborg,painter,Male,Denmark,Artist,1953,2009.0,,56.0,50-59
731943,Q12337180,Steve Martland,composer,Male,United Kingdom,Artist,1959,2013.0,,54.0,50-59
732055,Q12338585,Søren Strømberg,actor,Male,Denmark,Artist,1944,2001.0,,57.0,50-59
732123,Q12339535,Tom Hedegaard,film,Male,Denmark,Artist,1942,1998.0,,56.0,50-59
732125,Q12339574,Torben Bille,actor,,Denmark,Artist,1945,1993.0,,48.0,40-49
732126,Q12339575,Torben Christensen,painter,,Denmark,Artist,1950,2004.0,,54.0,50-59
732137,Q12339677,Tove Wisborg,actress,Female,Denmark,Artist,1936,1991.0,,55.0,50-59
732181,Q12340725,Vera Stricker,actress,Female,Denmark,Artist,1935,1960.0,,25.0,18-29
732567,Q12345121,Anna Székely,,Female,,Artist,1935,1993.0,,58.0,50-59
732730,Q12346297,Csilla Ababi,actress,,Romania,Artist,1983,2019.0,,36.0,30-39
732906,Q12347701,Ferenc Fábián,actor,Male,,Artist,1933,1979.0,,46.0,40-49
733029,Q12348100,Gabriella Angi,,Female,,Artist,1961,2003.0,,42.0,40-49
733197,Q12348625,Géza Boér,,Male,,Artist,1952,1989.0,,37.0,30-39
733324,Q12349234,Imre Máté,,Male,,Artist,1936,1989.0,,53.0,50-59
733762,Q12351355,Lajos Rafi,,Male,,Artist,1970,2013.0,,43.0,40-49
733768,Q12351366,Lajos Szabó,actor,Male,Romania,Artist,1932,1988.0,,56.0,50-59
733795,Q12351463,Lena Karpunina,writer,Female,Tajikistan; Soviet Union,Artist,1963,2013.0,,50.0,
733829,Q12351953,László Balogh,writer,,,Artist,1946,2003.0,,57.0,50-59
733956,Q12352928,Mária Tamás,,Female,,Artist,1930,1987.0,,57.0,50-59
733966,Q12352978,Mátyás Hunyadi,,Male,,Artist,1958,2002.0,,44.0,40-49
734407,Q12357075,Zsuzsa Kemény,writer,,Romania,Artist,1934,1979.0,,45.0,40-49
734408,Q12357076,Zsuzsanna László,painter,,Romania,Artist,1949,1986.0,,37.0,30-39
734447,Q12357247,Ödön Jakabos,,Male,,Artist,1940,1979.0,,39.0,30-39
734618,Q12359154,Andres Oks,,Male,,Artist,1947,2006.0,,59.0,50-59
734629,Q12359229,Angelina Semjonova,,Female,,Artist,1960,2011.0,,51.0,50-59
734638,Q12359299,Anne Valge,actress,Female,Estonia,Artist,1954,2013.0,,59.0,50-59
734672,Q12359461,Anu Presjärv,actor,,Estonia,Artist,1962,1996.0,,34.0,30-39
734673,Q12359503,Ardo Juhkov,singer,,Estonia,Artist,1953,2013.0,,60.0,50-59
734677,Q12359575,Arne Laos,,Male,,Artist,1933,1989.0,,56.0,50-59
735386,Q12363558,Heiko Sööt,,Male,,Artist,1968,1998.0,,30.0,18-29
735528,Q12363983,Hillar Norralt,musician,,Estonia,Artist,1960,2019.0,,59.0,50-59
735973,Q12366167,Kalevi Kvell,,Male,Estonia,Artist,1963,2016.0,,53.0,50-59
735979,Q12366196,Kalju Kass,,,,Artist,1938,1989.0,,51.0,50-59
736189,Q12368824,Linda Vernik,artist,Female,Estonia,Artist,1933,1990.0,,57.0,50-59
736246,Q12369880,Mart Mäger,poet,Male,Estonia,Artist,1935,1993.0,,58.0,50-59
736314,Q12370707,Märt Luige,,,,Artist,1961,1991.0,,30.0,18-29
736456,Q12372181,Peeter Kaber,singer,Male,Estonia,Artist,1961,2009.0,,48.0,40-49
736526,Q12373649,Rauno Remme,composer,,Estonia,Artist,1969,2002.0,,33.0,30-39
736633,Q12376103,Taivo Linna,singer,,Estonia,Artist,1941,1996.0,,55.0,50-59
736668,Q12377087,Toomas Kalmet,,Male,,Artist,1936,1983.0,,47.0,40-49
736670,Q12377095,Toomas Kreen,actor,Male,Estonia,Artist,1959,2018.0,,59.0,50-59
736699,Q12377807,Urmas Kibuspuu,,,,Artist,1953,1985.0,,32.0,30-39
