,id,name,short_description,gender,country,occupation,birth_year,death_year,manner_of_death,age_of_death,agerange
75979,Q519588,André Hazes,singer,Male,Kingdom of the Netherlands,Artist,1951,2004.0,,53.0,50-59
75996,Q519747,Sylvia Telles,singer,Female,Brazil,Artist,1934,1966.0,,32.0,30-39
76201,Q521149,Erzsébet Galgóczi,,Female,Hungary,Artist,1930,1989.0,natural causes,59.0,50-59
76456,Q522948,Maxime Leroux,actor,Male,France,Artist,1951,2010.0,natural causes,59.0,50-59
76615,Q523976,Byron Kennedy,film,Male,Australia,Artist,1949,1983.0,accident,34.0,30-39
76645,Q524186,Kenny Buttrey,musician,Male,United States of America,Artist,1945,2004.0,natural causes,59.0,50-59
76676,Q524362,Lounès Matoub,singer,Male,Algeria,Artist,1956,1998.0,homicide,42.0,
76820,Q525523,Christopher Mayer,actor,Male,United States of America,Artist,1954,2011.0,,57.0,50-59
76832,Q525604,Louis Neefs,singer,Male,Belgium,Artist,1937,1980.0,,43.0,40-49
76912,Q526106,Andy Hallett,actor,Male,United States of America,Artist,1975,2009.0,natural causes,34.0,30-39
76981,Q526588,Andy Manndorff,composer,Male,Austria,Artist,1957,2017.0,,60.0,50-59
77018,Q526864,Beatrice Macola,actress,Female,Italy,Artist,1965,2001.0,,36.0,30-39
77231,Q528280,Andy Yttri,artist,Male,United States of America,Artist,1958,1993.0,,35.0,30-39
77302,Q528804,Severo Sarduy,writer,Male,France; Cuba,Artist,1937,1993.0,,56.0,
77334,Q529104,Geneviève Castrée,musician,Female,Canada,Artist,1981,2016.0,natural causes,35.0,30-39
77372,Q529336,Christy Brown,artist,Male,Ireland,Artist,1932,1981.0,,49.0,40-49
77433,Q529750,Bianca Halstead,musician,Female,United States of America,Artist,1965,2001.0,accident,36.0,30-39
77439,Q529833,Leta Peer,artist,Female,Switzerland,Artist,1964,2012.0,,48.0,40-49
77479,Q530176,Franco Diogene,actor,Male,Italy,Artist,1947,2005.0,,58.0,50-59
77522,Q530531,Kerem Yılmazer,actor,Male,Turkey,Artist,1945,2003.0,homicide,58.0,50-59
77528,Q530578,Larry Holden,actor,Male,United Kingdom,Artist,1961,2011.0,natural causes,50.0,40-49
77560,Q530754,Micheline Coulombe Saint-Marcoux,composer,Female,Canada,Artist,1938,1985.0,,47.0,40-49
77563,Q530765,Ann Burton,singer,Female,Kingdom of the Netherlands,Artist,1933,1989.0,,56.0,50-59
77600,Q530996,Ines Paulke,singer,Female,Germany; German Democratic Republic,Artist,1958,2010.0,,52.0,50-59
77714,Q531786,Hubert Bognermayr,composer,Male,Austria,Artist,1948,1999.0,,51.0,50-59
77742,Q531978,Shannon Hoon,,Male,United States of America,Artist,1967,1995.0,natural causes,28.0,18-29
77807,Q532444,Fabián Bielinsky,film,Male,Argentina,Artist,1959,2006.0,natural causes,47.0,40-49
77873,Q532997,Alexa Kenin,actress,Female,United States of America,Artist,1962,1985.0,,23.0,18-29
77889,Q533137,Jon Nödtveidt,musician,Male,Sweden,Artist,1975,2006.0,suicide,31.0,30-39
78010,Q534269,Rachel Bissex,musician,Female,United States of America,Artist,1956,2005.0,natural causes,49.0,40-49
78019,Q534327,Angelika Hofer,,Female,Germany,Artist,1957,2016.0,,59.0,50-59
78089,Q534964,Debralee Scott,actress,Female,United States of America,Artist,1953,2005.0,,52.0,50-59
78099,Q535026,Joyce Jameson,,Female,United States of America,Artist,1932,1987.0,suicide,55.0,50-59
78128,Q535235,Alda Lara,writer,Female,Portugal,Artist,1930,1962.0,,32.0,30-39
78194,Q535681,María Luisa Puga,writer,Female,Mexico,Artist,1944,2004.0,,60.0,50-59
78245,Q535966,Jo Clayton,writer,Female,United States of America,Artist,1939,1998.0,natural causes,59.0,50-59
78364,Q536686,Sarah Danielle Madison,actress,Female,United States of America,Artist,1974,2014.0,natural causes,40.0,30-39
78426,Q537076,Georgia Brown,actress,Female,United Kingdom,Artist,1933,1992.0,,59.0,50-59
78561,Q538038,Celia Gregory,actress,Female,United Kingdom,Artist,1949,2008.0,,59.0,50-59
78576,Q538140,Roland Selmeczi,actor,Male,Hungary,Artist,1969,2008.0,accident,39.0,30-39
78626,Q538490,Jessica Campbell,actress,Female,United States of America,Artist,1982,2020.0,,38.0,30-39
78712,Q539099,Lou Gish,actress,Female,United Kingdom,Artist,1967,2006.0,natural causes,39.0,30-39
78723,Q539171,Dalida,singer,Female,Egypt; France,Artist,1933,1987.0,suicide,54.0,
78769,Q539432,Mike Starr,musician,Male,United States of America,Artist,1966,2011.0,,45.0,40-49
78791,Q539556,Lin Dai,,Female,British Hong Kong,Artist,1934,1964.0,suicide,30.0,
78949,Q540747,Nora Bumbiere,singer,Female,Latvia; Soviet Union,Artist,1947,1994.0,,47.0,
79067,Q541599,Dolores O'Riordan,singer,Female,Ireland,Artist,1971,2018.0,accident,47.0,40-49
